type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-03-31T20:57:30,2022-04-01T04:44,466,29.04527896995708,-1706.6617834394892,6554.951873504091,1.1888088567205846,1.5234721447786854
IDT,2022-04-03T22:16:30,2022-04-04T05:54:30,458,32.04388646288209,-296.35520361991075,1055.6685954423156,1.2001000849944221,1.5503054980090023
IDT,2022-04-04T21:16,2022-04-05T05:35:30,500,32.4296,-91.78627087198583,343.951359041268,1.1578900359131097,1.51891213434393
IDT,2022-04-05T23:10,2022-04-06T06:22,431,30.157772621809745,-1032.8101545253867,4350.426067959983,1.1926073361797642,1.5773487650761662
IDT,2022-04-06T23:51,2022-04-07T05:52,361,33.23407202216067,245.47571743929257,369.291489895666,1.206342565418827,1.5911715430376363
IDT,2022-04-07T23:26:30,2022-04-08T07:04,457,30.23019693654267,-1062.0163355408386,3079.3291837102734,1.2668766245489662,1.6264166207514537
IDT,2022-04-10T22:09,2022-04-11T06:04:30,474,29.20928270042194,-1585.4357615894041,6548.046569887432,1.4273607166010922,1.7386705322214038
IDT,2022-04-11T21:29,2022-04-12T05:10:30,453,29.796026490066225,-1193.848909090908,4142.395756594953,1.485280002981836,1.7829728419916548
IDT,2022-04-12T21:56:30,2022-04-13T06:17:30,487,30.732443531827514,-826.5151999999998,2985.7130099200876,1.490477214242249,1.8152130735821206
IDT,2022-04-13T23:23,2022-04-14T06:51:30,449,30.59153674832962,-735.5163498098846,2022.252652199706,1.498863263173265,1.8196536231134468
IDT,2022-04-15T00:30,2022-04-15T07:41:30,432,30.968055555555555,-464.7589519650628,1367.0612116474658,1.4910740878739415,1.8317905155242102
IDT,2022-04-16T00:18:30,2022-04-16T07:13:30,415,30.609397590361446,-458.4576555023923,981.0994262378663,1.4843423273250755,1.8291288231843832
IDT,2022-04-17T00:11:30,2022-04-17T06:55,403,30.539205955334985,-172.8263888888887,527.0970736882882,1.4598419822766413,1.8209285057378302
IDT,2022-04-17T21:20,2022-04-18T06:45,565,29.67805309734513,-728.8513888888883,2952.4879417439224,1.462090197446792,1.8053662230773746
IDT,2022-04-18T23:21:30,2022-04-19T06:13:30,412,33.608980582524275,1088.0611111111102,3148.324591049459,1.497454190495408,1.9281648879469384
IDT,2022-04-19T21:15,2022-04-20T06:12:30,535,32.008971962616826,357.3194211855407,529.0258481428027,1.4693818760651516,1.9208554338073414
IDT,2022-04-20T22:12,2022-04-21T05:47:30,456,33.0125,592.0636363636368,919.785393649363,1.4720253762769482,1.9342152895170677
IDT,2022-04-21T22:40:30,2022-04-22T06:40,479,30.663256784968684,-324.67980794789764,1222.5505170963006,1.4518549060424897,1.917272632110172
IDT,2022-04-23T01:38:30,2022-04-23T07:41,362,31.787569060773478,161.6271597554496,816.8779800294433,1.3567908476728987,1.909827721981411
IDT,2022-04-23T22:44:30,2022-04-24T06:59,494,30.514574898785423,-165.82327458361578,636.3377295417013,1.3501400808622066,1.914579738755435
IDT,2022-04-24T23:50:30,2022-04-25T07:22:30,452,31.22765486725664,170.58720625142632,687.7248339307262,1.2974147772727729,1.9201985631044403
IDT,2022-04-25T22:28,2022-04-26T06:13:30,466,32.69656652360515,860.3837126397466,1808.6355643256102,1.2721668790305836,1.972308954925624
IDT,2022-04-26T21:54,2022-04-27T05:44:30,471,30.546496815286623,-71.28742460550347,1315.1013097810792,1.274868944003369,1.9856303903370558
IDT,2022-04-27T21:34:30,2022-04-28T06:10,514,33.43463035019455,1406.7050185833796,4123.9260103262495,1.3349803792702792,2.095787861973214
IDT,2022-04-28T22:13,2022-04-29T05:47,454,29.373788546255504,-573.1925431999389,923.4558184582274,1.3417311916505743,2.084235077630889
IDT,2022-04-30T00:47,2022-04-30T08:43,476,31.96470588235294,603.0233246025073,1060.6706092745299,1.3429862324604593,2.077415893427163